flux,sink_iso,sink_country,target_iso,target_country,forest_ha,flow_per_ha_mean,flow_per_ha_q17,flow_per_ha_q83
Fa_tf,AFG,Afghanistan,AFG,Afghanistan,1208440.0,0.06456884535931035,-0.023844469946776588,0.16190308759165034
Fa_tf,AFG,Afghanistan,AGO,Angola,1208440.0,0.24072418222747616,-0.0037295928228898746,0.5248967297944266
Fa_tf,AFG,Afghanistan,ALB,Albania,1208440.0,0.003988514785572675,-0.0012046197032347821,0.009005463959647934
Fa_tf,AFG,Afghanistan,ARE,United Arab Emirates,1208440.0,0.636766447068805,-0.006715644331593898,1.447195108395768
Fa_tf,AFG,Afghanistan,ARG,Argentina,1208440.0,0.277387629051697,-0.014937875582126099,0.5636269924921644
Fa_tf,AFG,Afghanistan,AUS,Australia,1208440.0,0.27496750314990487,-0.025052199752159,0.5375223216388025
Fa_tf,AFG,Afghanistan,AZE,Azerbaijan,1208440.0,0.00801052967358314,-0.005087629072795601,0.021773772178501863
Fa_tf,AFG,Afghanistan,BDI,Burundi,1208440.0,0.05350561244396814,-0.0009046246813873678,0.11391282394147885
Fa_tf,AFG,Afghanistan,BEN,Benin,1208440.0,0.10595096511647191,-0.0011132120302620768,0.2284005341374676
Fa_tf,AFG,Afghanistan,BFA,Burkina Faso,1208440.0,0.33910139107500414,-0.0038613063557569787,0.7494308090065265
Fa_tf,AFG,Afghanistan,BGD,Bangladesh,1208440.0,0.7806134525886471,-0.012072168636306103,1.6930991749824014
Fa_tf,AFG,Afghanistan,BHS,The Bahamas,1208440.0,0.006299314021109691,-8.041189375094154e-05,0.014209637768024756
Fa_tf,AFG,Afghanistan,BLZ,Belize,1208440.0,0.0036833594759783867,-4.904849546656644e-05,0.008252450614852089
Fa_tf,AFG,Afghanistan,BOL,Bolivia,1208440.0,0.0933451451741227,-0.002223848742004955,0.20206606213674705
Fa_tf,AFG,Afghanistan,BRA,Brazil,1208440.0,1.8019010197547338,-0.029683619160639604,4.040660377680815
Fa_tf,AFG,Afghanistan,BRN,Brunei,1208440.0,0.01951291389162283,-0.0002080687906672561,0.04399925081458233
Fa_tf,AFG,Afghanistan,BTN,Bhutan,1208440.0,0.010138880043340534,-0.0006953672785262083,0.02232040490830035
Fa_tf,AFG,Afghanistan,BWA,Botswana,1208440.0,0.040034526533866154,-0.0009510907047590013,0.08624130040124778
Fa_tf,AFG,Afghanistan,CAF,Central African Republic,1208440.0,0.029245413040473046,-0.00037627684070103113,0.0659846962599591
Fa_tf,AFG,Afghanistan,CHN,China,1208440.0,4.211120273499133,-0.7748688573103452,9.577737612171775
Fa_tf,AFG,Afghanistan,CIV,Ivory Coast,1208440.0,0.33156123781238356,-0.002892597226358068,0.7110642468469802
Fa_tf,AFG,Afghanistan,CMR,Cameroon,1208440.0,0.22570978679638226,-0.002914660442136983,0.4982481568180959
Fa_tf,AFG,Afghanistan,COD,Democratic Republic of the Congo,1208440.0,0.6549152197000814,-0.009472907127839207,1.4401843790749749
Fa_tf,AFG,Afghanistan,COG,Republic of the Congo,1208440.0,0.08554889546366082,-0.0010266160467590968,0.19054086360678016
Fa_tf,AFG,Afghanistan,COL,Colombia,1208440.0,0.4970502391479671,-0.0076578645446750485,1.0759993170735243
Fa_tf,AFG,Afghanistan,COM,Comoros,1208440.0,0.0046391681831900265,-5.5263924836523156e-05,0.01031205330655091
Fa_tf,AFG,Afghanistan,CPV,Cabo Verde,1208440.0,0.0021290979333578753,-4.589409204848856e-05,0.004608038291878272
Fa_tf,AFG,Afghanistan,CRI,Costa Rica,1208440.0,0.054928724835152966,-0.0009478874602208934,0.11964616023570115
Fa_tf,AFG,Afghanistan,CUB,Cuba,1208440.0,0.04932612148682104,-0.0006210057603949527,0.11164044266924428
Fa_tf,AFG,Afghanistan,CYP,Cyprus,1208440.0,0.009437049602547482,-0.00021943009263399515,0.020904238990278556
Fa_tf,AFG,Afghanistan,DJI,Djibouti,1208440.0,0.013508416136232961,-0.00019100169890796627,0.030066232019397968
Fa_tf,AFG,Afghanistan,DOM,Dominican Republic,1208440.0,0.11209789673720906,-0.0013570512668934955,0.24195521268523965
Fa_tf,AFG,Afghanistan,DZA,Algeria,1208440.0,0.21824600496712993,-0.007330978164185239,0.446455620917249
Fa_tf,AFG,Afghanistan,ECU,Ecuador,1208440.0,0.11381448740518274,-0.002421153512923961,0.24194664704213814
Fa_tf,AFG,Afghanistan,EGY,Egypt,1208440.0,1.1927079706305523,-0.018941748126885465,2.587861526877176
Fa_tf,AFG,Afghanistan,ERI,Eritrea,1208440.0,0.020823977637833408,-0.0002832587995841716,0.04740109307332711
Fa_tf,AFG,Afghanistan,ESP,Spain,1208440.0,0.21394922789331058,-0.036378105353831756,0.49153507938941265
Fa_tf,AFG,Afghanistan,ETH,Ethiopia,1208440.0,0.5970984282863242,-0.011996803982754172,1.3003728064558526
Fa_tf,AFG,Afghanistan,FJI,Fiji,1208440.0,0.004422448946829357,-6.844515596226943e-05,0.008687745714400948
Fa_tf,AFG,Afghanistan,GAB,Gabon,1208440.0,0.03140744430257128,-0.0004207357444717718,0.0704031818978089
Fa_tf,AFG,Afghanistan,GHA,Ghana,1208440.0,0.35398667405988465,-0.0031162971407088197,0.7520002549424223
Fa_tf,AFG,Afghanistan,GIN,Guinea,1208440.0,0.16828891908789761,-0.001925789804553809,0.35677765538155287
Fa_tf,AFG,Afghanistan,GMB,Gambia,1208440.0,0.0211440207186476,-0.00018003983942769137,0.04369505584329407
Fa_tf,AFG,Afghanistan,GNB,Guinea-Bissau,1208440.0,0.01728789461875992,-0.00016632998900576194,0.034915539591489665
Fa_tf,AFG,Afghanistan,GNQ,Equatorial Guinea,1208440.0,0.027147102064922383,-0.0003653609384341592,0.05986006036972848
Fa_tf,AFG,Afghanistan,GRC,Greece,1208440.0,0.058122924165357644,-0.00826522151855777,0.13486943800704337
Fa_tf,AFG,Afghanistan,GTM,Guatemala,1208440.0,0.17096333659175098,-0.0029057220101699113,0.36728698926714465
Fa_tf,AFG,Afghanistan,GUY,Guyana,1208440.0,0.004674214878196506,-6.0521746926843264e-05,0.010461104074877017
Fa_tf,AFG,Afghanistan,HND,Honduras,1208440.0,0.08400636930536629,-0.0012939630657518102,0.1864375001486725
Fa_tf,AFG,Afghanistan,HTI,Haiti,1208440.0,0.05471824529724009,-0.0006788406802071235,0.120215018165129
Fa_tf,AFG,Afghanistan,IDN,Indonesia,1208440.0,2.4158106292466175,-0.027772937429673038,5.391166071282067
Fa_tf,AFG,Afghanistan,IND,India,1208440.0,15.855969865578055,-0.1745922508164395,36.525902820535755
Fa_tf,AFG,Afghanistan,IRN,Iran,1208440.0,0.39767825674605534,-0.03242497933998541,0.8547797903435106
Fa_tf,AFG,Afghanistan,IRQ,Iraq,1208440.0,0.47209275759505054,-0.006227412975113809,1.0450626406881158
Fa_tf,AFG,Afghanistan,ISR,Israel,1208440.0,0.25905409258892326,-0.005384277571645617,0.5727321166584624
Fa_tf,AFG,Afghanistan,ITA,Italy,1208440.0,0.11679215271596993,-0.06877085261405085,0.31222797545161124
Fa_tf,AFG,Afghanistan,JAM,Jamaica,1208440.0,0.010546651559510773,-0.00017611318507076304,0.02273367940253997
Fa_tf,AFG,Afghanistan,JOR,Jordan,1208440.0,0.0874058413459716,-0.0022564345453673284,0.1854230233555394
Fa_tf,AFG,Afghanistan,JPN,Japan,1208440.0,0.34329171990486346,-0.09039591381864695,0.7824552831484702
Fa_tf,AFG,Afghanistan,KEN,Kenya,1208440.0,0.2786879379311048,-0.005232072801746117,0.6165630032960927
Fa_tf,AFG,Afghanistan,KHM,Cambodia,1208440.0,0.12714501281292068,-0.001710894317972216,0.2833398012183112
Fa_tf,AFG,Afghanistan,KWT,Kuwait,1208440.0,0.2591021850972074,-0.002812894423581034,0.5907755314846805
Fa_tf,AFG,Afghanistan,LAO,Laos,1208440.0,0.05763562866255341,-0.0008464241086918981,0.1259656485558248
Fa_tf,AFG,Afghanistan,LBN,Lebanon,1208440.0,0.012410078356790042,-0.0031834481100040013,0.02918478417435742
Fa_tf,AFG,Afghanistan,LBR,Liberia,1208440.0,0.05598393066335212,-0.0004157144582419457,0.1218664138761381
Fa_tf,AFG,Afghanistan,LBY,Libya,1208440.0,0.12193067365585299,-0.002158762572035929,0.25250135222520137
Fa_tf,AFG,Afghanistan,LKA,Sri Lanka,1208440.0,0.2382869074262964,-0.002785355222630802,0.53736961832183
Fa_tf,AFG,Afghanistan,LSO,Lesotho,1208440.0,0.0006446895906440453,-0.0017801933029743123,0.00328692787473385
Fa_tf,AFG,Afghanistan,MAR,Morocco,1208440.0,0.19642020708122138,-0.00814233295967055,0.439740216991987
