iso,Country,area_ha,population,Fa_tf_mean,Fa_tf_std,Fb_mean,Fb_std,Fc_mean,Fc_std,Fab_tf_mean,Fab_tf_std,Fabc_tf_mean,Fabc_tf_std
ABW,Aruba,16976.620878375696,108587.0,,,,,1.4121190999715434e-08,1.5966106863270539e-24,,,,
AFG,Afghanistan,64218111.287431836,39068979.0,-1.6083511011046197e-12,2.516230962893865e-12,1.2852652070468696e-11,6.629858249763336e-12,4.3913175155439494e-11,0.0,1.1244300999340045e-11,7.011274263953927e-12,5.515747615477953e-11,7.011274263953927e-12
AGO,Angola,124465216.64641193,33451132.0,-3.387090878551515e-10,1.1250381734987059e-10,2.1044717404390586e-10,9.489462953577793e-11,3.5810219648327666e-11,1.393741579147298e-26,-1.282619119160535e-10,1.5362306506958232e-10,-9.245169226772582e-11,1.5362306506958232e-10
AIA,Anguilla,8742.010409600916,,,,,,4.215663211821394e-09,0.0,,,,
ALA,Aland,,,,,,,,,,,,
ALB,Albania,2833579.0333940624,2837849.0,-1.8436217724771323e-10,1.1533304564600495e-10,-5.569811116613109e-14,3.6060180115043236e-11,4.848454978686809e-10,7.652528196376769e-26,-1.8441785430642263e-10,1.1182651839876645e-10,3.0042764356222306e-10,1.1182651839876645e-10
AND,Andorra,45223.9440783346,77380.0,,,-3.9085445465310516e-11,2.3119063405321937e-11,2.7277025300895145e-09,5.993518447923875e-25,,,,
ARE,United Arab Emirates,7108500.395837203,9401038.0,0.0,0.0,-1.4231915504885472e-11,1.8774377952564217e-11,8.298143721261518e-09,1.9522806548539273e-24,-1.4231915504885472e-11,1.8783772187801107e-11,8.283911805756633e-09,1.8783772187801107e-11
ARG,Argentina,278289636.7848946,45191965.0,-3.585778153756118e-11,3.4282293477476156e-11,7.411147313021138e-11,5.499421630514992e-11,1.8139858796866991e-10,2.4934072228031554e-26,3.825369068217002e-11,6.645819098258487e-11,2.196522786508403e-10,6.645819098258487e-11
ARM,Armenia,2958823.8491993533,2961500.0,0.0,0.0,5.1897240872095634e-11,5.137014088882964e-11,5.628054060241229e-10,1.4657204723814643e-25,5.1897240872095634e-11,5.1395845239131056e-11,6.147026468962184e-10,5.1395845239131056e-11
ATA,Antarctica,,,,,,,,,,,,
ATF,French Southern and Antarctic Lands,727996.3093082382,,0.0,0.0,,,,,,,,
ATG,Antigua and Barbuda,45184.959553804045,91846.0,,,-5.846080257866718e-11,8.564858868581744e-11,3.6593329672523684e-09,0.0,,,,
AUS,Australia,769117017.4058921,25649248.0,-1.5842649069315278e-11,8.66694514507427e-12,1.3095589205620974e-11,9.693923211909266e-12,1.427026791671718e-10,3.6087584837537473e-26,-2.74705960648949e-12,1.2791164412516526e-11,1.399556195606823e-10,1.2791164412516526e-11
AUT,Austria,8399319.499286903,8916864.0,-2.7332340437756966e-10,2.1229218630763897e-10,-1.3585058564527455e-10,1.8546122672164712e-10,2.1414574709564113e-09,0.0,-4.0917399232219716e-10,3.105233224411017e-10,1.7322834786342139e-09,3.105233224411017e-10
AZE,Azerbaijan,8624986.040908482,10093121.0,-2.142627119898905e-11,4.196850386576073e-11,9.535246017782239e-11,4.550612043903767e-11,1.1255608868281772e-09,0.0,7.392618881363887e-11,6.070067481019999e-11,1.1994870756418275e-09,6.070067481019999e-11
BAY,Baykonur Cosmodrome,,,,,,,,,,,,
BDI,Burundi,2704122.834457782,12617036.0,-3.601898876739826e-10,2.733554077428654e-10,2.481626309458898e-10,1.461068500234464e-10,5.6508243546983605e-11,0.0,-1.1202726580068364e-10,2.902633974921801e-10,-5.5519022253700026e-11,2.902633974921801e-10
