iso,Country,area_ha,population,Fa_tf_mean,Fa_tf_std,Fb_mean,Fb_std,Fc_mean,Fc_std,Fab_tf_mean,Fab_tf_std,Fabc_tf_mean,Fabc_tf_std
ABW,Aruba,16976.620878375696,108587.0,,,,,2.20772381549633e-09,2.496160158411008e-25,,,,
AFG,Afghanistan,64218111.287431836,39068979.0,-2.6436644274732646e-12,4.13595656031861e-12,2.1126045832935638e-11,1.08975710602317e-11,7.21805698868276e-11,0.0,1.84823814547342e-11,1.1524508765619394e-11,9.06629513415618e-11,1.1524508765619394e-11
AGO,Angola,124465216.64641193,33451132.0,-1.2602712518069643e-09,4.186050265802664e-10,7.830333846400146e-10,3.5308463174733817e-10,1.3324292722544336e-10,5.185843863151797e-26,-4.772378601153049e-10,5.716018242901735e-10,-3.4399493288986156e-10,5.716018242901735e-10
AIA,Anguilla,8742.010409600916,,,,,,,,,,,
ALA,Aland,,,,,,,,,,,,
ALB,Albania,2833579.0333940624,2837849.0,-1.8408477688559188e-10,1.1515950989640393e-10,-5.5614305059924175e-14,3.600592220178029e-11,4.841159755843951e-10,7.641013827624406e-26,-1.8414037016987164e-10,1.1165825874181466e-10,2.999756054144882e-10,1.1165825874181466e-10
AND,Andorra,45223.9440783346,77380.0,,,-2.284308606875161e-11,1.3511698508474427e-11,1.59417765162962e-09,3.502850130800932e-25,,,,
ARE,United Arab Emirates,7108500.395837203,9401038.0,0.0,0.0,-1.076131986701894e-11,1.4196057191493109e-11,6.274557971928366e-09,1.4761973952040676e-24,-1.076131986701894e-11,1.4203160548047993e-11,6.263796652061347e-09,1.4203160548047993e-11
ARG,Argentina,278289636.7848946,45191965.0,-2.2081024801643388e-10,2.1110847912897792e-10,4.563743784763508e-10,3.3865136160443785e-10,1.1170425353067497e-09,1.535426464396321e-25,2.3556412485323e-10,4.092458876245965e-10,1.352606660159982e-09,4.092458876245965e-10
ARM,Armenia,2958823.8491993533,2961500.0,0.0,0.0,5.185034408239068e-11,5.132372041148067e-11,5.622968285674489e-10,1.4643959783697514e-25,5.185034408239068e-11,5.134940153412123e-11,6.141471726498396e-10,5.134940153412123e-11
ATA,Antarctica,,,,,,,,,,,,
ATF,French Southern and Antarctic Lands,727996.3093082382,,,,,,,,,,,
ATG,Antigua and Barbuda,45184.959553804045,91846.0,,,-2.8760631927356662e-11,4.2136053999184063e-11,1.8002614389216734e-09,0.0,,,,
AUS,Australia,769117017.4058921,25649248.0,-4.750568515692936e-10,2.598865666548976e-10,3.9268365727525424e-10,2.9068147758972897e-10,4.2790751205214715e-09,1.0821204432827395e-24,-8.237318658150915e-11,3.8355519125173183e-10,4.196701933939962e-09,3.8355519125173183e-10
AUT,Austria,8399319.499286903,8916864.0,-2.574594162252559e-10,1.9997051654034423e-10,-1.279656696569444e-10,1.746968550787362e-10,2.0171649464091635e-09,0.0,-3.854250880480963e-10,2.9250021051828307e-10,1.6317398583610673e-09,2.9250021051828307e-10
AZE,Azerbaijan,8624986.040908482,10093121.0,-1.8309627913902943e-11,3.5863808627678194e-11,8.148258977574924e-11,3.888684714694295e-11,9.618379624187206e-10,0.0,6.317296172068085e-11,5.1871217328287256e-11,1.0250109241394113e-09,5.1871217328287256e-11
BAY,Baykonur Cosmodrome,,,,,,,,,,,,
BDI,Burundi,2704122.834457782,12617036.0,-7.719702947665363e-11,5.858639065466722e-11,5.3186995503531893e-11,3.1314079584071884e-11,1.211102446806841e-11,0.0,-2.4010035917587935e-11,6.221016419116978e-11,-1.1899011449519521e-11,6.221016419116978e-11
BEL,Belgium,3066954.2277893294,11538604.0,-9.229472646777722e-12,2.7286253172394168e-11,3.838328986764777e-11,3.278178946935869e-11,2.3061065919992314e-09,3.006816900860463e-25,2.915381655621425e-11,3.368838492575878e-11,2.3352604085554457e-09,3.368838492575878e-11
BEN,Benin,11611336.371311942,13070169.0,-1.563793857600464e-11,2.4454788610613986e-11,2.3231550173528745e-10,1.3741002574274287e-10,1.415443650116307e-10,1.6590484369184587e-26,2.1667756368221405e-10,1.3522410065422261e-10,3.5822192869384474e-10,1.3522410065422261e-10
BES,"Bonaire, Saint Eustatius and Saba",,,,,,,,,,,,
BFA,Burkina Faso,27276876.368909676,21478690.0,0.0,0.0,2.280688883726149e-10,6.622601562054762e-11,5.808861844595271e-11,1.0095607995510942e-26,2.280688883726149e-10,6.625915348382513e-11,2.861575068185676e-10,6.625915348382513e-11
BGD,Bangladesh,13690370.63791398,166298024.0,-1.1001830665167736e-11,5.885618340239569e-12,8.977176746249251e-12,1.632917303587143e-11,1.407057159705692e-10,0.0,-2.024653376278843e-12,1.4723867899531986e-11,1.3868106259429035e-10,1.4723867899531986e-11
BGR,Bulgaria,11275988.251151955,6934015.0,-3.4255492669110173e-10,1.9868542251494986e-10,-1.2688078970119042e-10,9.88171268231609e-11,1.7358552908649172e-09,2.50175904721407e-25,-4.6943571708919e-10,2.572314897760677e-10,1.2664195737757273e-09,2.572314897760677e-10
BHR,Bahrain,68811.79950332482,1472204.0,,,-1.0469540906015746e-13,2.4354299195643434e-13,6.291368626107048e-09,2.3566346457105226e-24,,,,
BHS,The Bahamas,1260387.3447043716,395863.0,-7.980169149427959e-13,3.186991964391721e-12,-1.136048329851489e-11,1.2902412346856178e-11,1.5973879701808453e-09,2.7388317990959104e-25,-1.2158500250006569e-11,1.4430529286710273e-11,1.5852294699310115e-09,1.443052928671031e-11
BIH,Bosnia and Herzegovina,5182670.958331842,3299349.0,-3.6838161103902623e-10,2.6461088839040673e-10,1.8923226975988294e-11,9.38390919489875e-11,1.7167802400607212e-09,2.628887510804112e-25,-3.494584206670164e-10,2.92070196177064e-10,1.3673218193937046e-09,2.92070196177064e-10
BIR,Bir Tawil,,,,,,,,,,,,
BLR,Belarus,20749942.310960855,9379952.0,-5.91902655791842e-10,4.674908784181412e-10,1.820758001746704e-10,1.2905613246114692e-10,1.7682684929277355e-09,3.6987896653987293e-25,-4.098268635562314e-10,5.257192856202569e-10,1.3584416293714936e-09,5.257192856202569e-10
